"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.541999995E-3,1.572180634E0,8.604556732E0,3.706292725E0,9.499829170E0
7.463000002E-3,1.483564911E0,8.606203308E0,3.806284790E0,9.526568329E0
1.746900001E-2,1.475182343E0,8.642877045E0,4.088747406E0,9.674365194E0
2.747500000E-2,1.570234680E0,8.659043427E0,4.401447144E0,9.839583679E0
3.748100000E-2,1.743723907E0,8.661438446E0,4.630321198E0,9.975016963E0
4.748700000E-2,1.886676636E0,8.665030975E0,4.782255249E0,1.007533006E1
5.749200000E-2,1.944755859E0,8.697214050E0,4.939877472E0,1.018950426E1
6.749800000E-2,1.886976013E0,8.703800354E0,4.944517822E0,1.018651440E1
7.750400000E-2,1.757046204E0,8.707841949E0,4.872966614E0,1.013210375E1
8.751000000E-2,1.640588379E0,8.723858643E0,4.775219879E0,1.007968079E1
9.751600000E-2,1.535506897E0,8.700656891E0,4.649331665E0,9.983761651E0
1.075210000E-1,1.467248840E0,8.643026733E0,4.499792633E0,9.854078547E0
1.175270000E-1,1.408720551E0,8.572223969E0,4.422403564E0,9.748085486E0
1.275330000E-1,1.332379303E0,8.536298676E0,4.466112671E0,9.725728357E0
1.375390000E-1,1.248254242E0,8.484057312E0,4.516557770E0,9.692092716E0
1.475450000E-1,1.209185486E0,8.391100616E0,4.575684814E0,9.633773436E0
1.575500000E-1,1.193917236E0,8.336314545E0,4.684658203E0,9.636679980E0
1.675560000E-1,1.190324707E0,8.317603455E0,4.824317780E0,9.688830795E0
1.775620000E-1,1.158590698E0,8.311017151E0,4.966971130E0,9.751212268E0
1.875680000E-1,1.128952332E0,8.315208435E0,5.063071289E0,9.800607918E0
1.975740000E-1,1.087488556E0,8.289312286E0,5.124892731E0,9.806113146E0
2.075790000E-1,1.042132874E0,8.293503571E0,5.094206543E0,9.788727328E0
2.175850000E-1,1.005159760E0,8.292156372E0,5.006189575E0,9.738179373E0
2.275910000E-1,9.984237671E-1,8.298143921E0,4.925507355E0,9.701374400E0
2.375977917E-1,1.017883301E0,8.329877930E0,4.893773346E0,9.714523678E0
2.476037917E-1,1.057550812E0,8.434061279E0,4.817432098E0,9.770335481E0
2.576087917E-1,1.101559296E0,8.501870270E0,4.773573303E0,9.812351046E0
2.676147917E-1,1.056353302E0,8.530610504E0,4.817581787E0,9.853745082E0
2.776207917E-1,9.741741943E-1,8.470435638E0,4.934338989E0,9.851141889E0
2.876267917E-1,8.687933350E-1,8.343200226E0,5.053940277E0,9.793166199E0
2.976327917E-1,7.896080017E-1,8.217910767E0,5.120551758E0,9.714812838E0
3.076377917E-1,7.530839539E-1,8.142767029E0,5.183421021E0,9.681923559E0
3.176437917E-1,7.253915405E-1,8.083340607E0,5.203928375E0,9.640926241E0
3.276497917E-1,6.448590088E-1,8.059540100E0,5.190456390E0,9.607958540E0
3.376557917E-1,5.542973328E-1,8.046966248E0,5.212310944E0,9.603598112E0
3.476617917E-1,5.037025452E-1,8.071066132E0,5.249134369E0,9.641018431E0
3.576677917E-1,4.667294312E-1,8.065677338E0,5.213807831E0,9.615444835E0
3.676727917E-1,4.679269409E-1,8.060887299E0,5.187013550E0,9.596977088E0
3.776787917E-1,4.855902100E-1,8.040529633E0,5.176086273E0,9.574851630E0
3.876847917E-1,4.671784973E-1,8.002808075E0,5.183570709E0,9.546339515E0
3.976907917E-1,4.291575623E-1,7.963439941E0,5.173541565E0,9.506107733E0
4.076967917E-1,3.736230469E-1,7.963140564E0,5.137616272E0,9.484002466E0
4.177017917E-1,3.457809448E-1,7.965086517E0,5.126688995E0,9.478665926E0
4.277077917E-1,3.562591553E-1,8.001610565E0,5.169050903E0,9.532669063E0
4.377137917E-1,4.158352661E-1,7.982600098E0,5.237608337E0,9.556535166E0
4.477197917E-1,4.863386536E-1,7.964637451E0,5.284460907E0,9.570658394E0
4.577257917E-1,5.008584595E-1,7.964338074E0,5.320386200E0,9.591040062E0
4.677317917E-1,4.963677979E-1,7.996970215E0,5.287604370E0,9.599826748E0
4.777367917E-1,4.899311829E-1,8.046966248E0,5.250481567E0,9.620876002E0
4.877427917E-1,5.099894714E-1,8.064779205E0,5.240751801E0,9.631522846E0
4.977487917E-1,5.072950745E-1,8.018824768E0,5.264103241E0,9.605710900E0
5.077547917E-1,4.679269409E-1,8.008047180E0,5.306764526E0,9.618187199E0
5.177607917E-1,4.712200928E-1,7.996970215E0,5.354814606E0,9.635747011E0
5.277667917E-1,4.670288086E-1,7.998018036E0,5.378016357E0,9.649324761E0
5.377717917E-1,4.764591980E-1,8.018974457E0,5.404960327E0,9.682177485E0
5.477777917E-1,4.658312988E-1,8.066725159E0,5.439837799E0,9.740682156E0
5.577837917E-1,4.686753845E-1,8.134384460E0,5.512137451E0,9.837251976E0
5.677897917E-1,4.613406372E-1,8.149802399E0,5.606740723E0,9.902911484E0
5.777957917E-1,5.078938293E-1,8.066874847E0,5.658383331E0,9.866596570E0
5.878017917E-1,4.638853455E-1,7.997568970E0,5.693111115E0,9.827909910E0
5.978067917E-1,4.496649170E-1,8.021219788E0,5.691913605E0,9.845813623E0
6.078127917E-1,4.893324280E-1,8.110883331E0,5.660329285E0,9.902787600E0
6.178187917E-1,5.581892395E-1,8.123606873E0,5.613925781E0,9.890436114E0
6.278247917E-1,5.818400574E-1,8.094716949E0,5.544170837E0,9.828571138E0
6.378307917E-1,5.385800171E-1,8.046367493E0,5.486390991E0,9.753695934E0
6.478367917E-1,4.653822327E-1,7.998018036E0,5.409001923E0,9.666549277E0
6.578417917E-1,4.221221924E-1,8.011340332E0,5.365741882E0,9.651473826E0
6.678477917E-1,3.817062378E-1,8.033793640E0,5.388045502E0,9.680835410E0
6.778537917E-1,3.869453430E-1,8.130642242E0,5.447172546E0,9.794322780E0
6.878597917E-1,4.261637878E-1,8.272397461E0,5.448819122E0,9.914827540E0
6.978657917E-1,4.183799744E-1,8.281079407E0,5.444777527E0,9.919522179E0
7.078717917E-1,4.126918030E-1,8.196205902E0,5.330714722E0,9.785940178E0
7.178777917E-1,3.619473267E-1,8.112080841E0,5.120701447E0,9.599918997E0
7.278827917E-1,3.270698547E-1,7.995473328E0,4.787494354E0,9.324948826E0
7.378887917E-1,2.231858826E-1,7.877518616E0,4.604425049E0,9.127203378E0
7.478947917E-1,2.404000854E-1,7.896678772E0,4.627327423E0,9.155735192E0
7.579007917E-1,4.450245667E-1,7.954308929E0,4.287983093E0,9.047423745E0
7.679067917E-1,7.619155884E-1,7.695347443E0,4.239184570E0,8.818705883E0
7.779127917E-1,8.514294434E-1,7.393425293E0,4.599185944E0,8.748724536E0
7.879187917E-1,1.023421783E0,7.285200348E0,4.908293152E0,8.843804494E0
7.979237917E-1,1.244961090E0,7.190597076E0,4.690046997E0,8.674742375E0
8.079297917E-1,1.367855530E0,6.972500610E0,4.334087219E0,8.322926501E0
8.179357917E-1,1.356628876E0,6.835086365E0,4.272415466E0,8.173884110E0
8.279417917E-1,1.191222839E0,6.816524963E0,4.533173218E0,8.272465403E0
8.379477917E-1,1.016236725E0,6.875202942E0,4.957091675E0,8.536621723E0
8.479537917E-1,8.746311951E-1,6.896159363E0,5.295687561E0,8.738781404E0
8.579597917E-1,7.607180786E-1,6.639592896E0,5.315446472E0,8.539136784E0
8.679657917E-1,6.093827820E-1,6.221212921E0,5.169649658E0,8.111727015E0
8.779707917E-1,4.496649170E-1,5.922883301E0,5.130281525E0,7.848728155E0
8.879767917E-1,4.327500916E-1,5.885012054E0,4.940027161E0,7.695746089E0
8.979827917E-1,5.334906006E-1,5.903872833E0,4.542753296E0,7.468395688E0
9.079887917E-1,5.483097839E-1,5.741610260E0,4.242178345E0,7.159805102E0
9.179947917E-1,4.415817261E-1,5.666017456E0,4.421655121E0,7.200679290E0
9.280007917E-1,3.158432007E-1,5.817951508E0,4.927153931E0,7.630541431E0
9.380067917E-1,2.029779053E-1,5.953569489E0,5.238506470E0,7.932725869E0
9.480117917E-1,2.682421875E-1,6.078260193E0,5.541177063E0,8.229328289E0
9.580177917E-1,3.876937866E-1,6.104904785E0,5.661077728E0,8.334744744E0
9.680237917E-1,3.224295044E-1,5.805826721E0,5.295687561E0,7.864851648E0
9.780297917E-1,1.742376709E-1,5.558241577E0,4.822222137E0,7.360586562E0
9.880357917E-1,1.169068909E-1,5.529950409E0,4.394561462E0,7.064431272E0
9.980417917E-1,-7.512876892E-1,5.958209839E0,4.366419983E0,7.424979538E0
1.008047792E0,-2.916684723E0,6.879094849E0,5.035079498E0,9.010051124E0
1.018053792E0,-3.444936218E0,7.260202332E0,5.593867493E0,9.791295980E0
1.028058792E0,-2.530338135E0,6.914271698E0,6.446644135E0,9.786162925E0
1.038064792E0,-2.014211426E0,6.362070007E0,7.390281830E0,9.957371539E0
1.048070792E0,-1.702559509E0,5.898484039E0,8.140671387E0,1.019614405E1
1.058076792E0,-1.408720551E0,5.665418701E0,8.880133667E0,1.062724031E1
1.068082792E0,-1.173559570E0,5.516029358E0,9.416318665E0,1.097592270E1
1.078088792E0,-9.307644653E-1,5.338797913E0,9.525292053E0,1.095902707E1
1.088094792E0,-4.938230896E-1,5.271587677E0,8.730894012E0,1.021087695E1
1.098100792E0,-1.264869690E-1,5.464686127E0,8.848549347E0,1.040075088E1
1.108106792E0,-1.126557312E0,4.998405762E0,1.073028625E1,1.189084667E1
1.118112792E0,-3.862418060E0,2.473905487E0,1.214589249E1,1.298311157E1
1.128117792E0,-4.220922546E0,-9.253756714E-1,9.103918304E0,1.007739231E1
1.138123792E0,-1.067579956E0,1.747915192E0,5.619913330E0,5.981501510E0
1.148129792E0,-6.032455444E-2,5.199288025E0,5.348827057E0,7.459637116E0
1.158135792E0,-5.529501343E-1,8.777746582E0,8.559799805E0,1.227292800E1
1.168141792E0,1.328637085E0,1.188573349E1,1.106798401E1,1.629528174E1
1.178147792E0,2.173330536E0,8.986412659E0,9.393416290E0,1.318010803E1
1.188153792E0,4.644841003E-1,5.108576660E0,9.482481079E0,1.078103652E1
1.198159792E0,-7.325765991E-1,3.916006622E0,9.929601288E0,1.069900734E1
1.208165792E0,-1.492845612E0,3.455264740E0,9.731114044E0,1.043369652E1
1.218170792E0,-1.547182617E0,3.651057587E0,9.701325989E0,1.048044472E1
1.228176792E0,7.602690125E-1,6.620732117E0,1.045605652E1,1.239924275E1
1.238182875E0,2.345023499E0,6.985822906E0,1.026684998E1,1.263760520E1
1.248188875E0,3.484454041E0,6.159391479E0,9.934840393E0,1.219756439E1
1.258194875E0,5.120252380E0,7.105723572E0,1.129805557E1,1.429525626E1
1.268200875E0,6.014193420E0,7.010671234E0,1.213017517E1,1.524667778E1
1.278206875E0,5.505850525E0,6.600374451E0,1.136152359E1,1.424652769E1
1.288212875E0,4.283642120E0,6.666836243E0,1.016685791E1,1.289035667E1
1.298218875E0,3.148253174E0,6.757547607E0,9.250463562E0,1.188053129E1
1.308224875E0,2.020049286E0,6.584657135E0,8.567284241E0,1.099257331E1
1.318230875E0,-7.506889343E-1,6.379433899E0,7.519163818E0,9.889314196E0
1.328235875E0,-1.564845886E0,5.866600342E0,7.103478241E0,9.344792418E0
1.338241875E0,-5.415737915E-1,5.366340637E0,7.117399292E0,8.930189622E0
1.348247875E0,5.969586182E-1,5.174589386E0,7.567213898E0,9.186700228E0
1.358253875E0,1.118773499E0,4.873565369E0,8.440647583E0,9.810597595E0
1.368259875E0,1.148711243E0,4.275259552E0,9.011260986E0,1.003993059E1
1.378265875E0,9.220825195E-1,4.111350403E0,8.732091522E0,9.695507241E0
1.388271875E0,8.379574585E-1,3.932472382E0,8.755592651E0,9.634672512E0
1.398277875E0,8.759783936E-1,3.640429688E0,8.168663177E0,8.985940383E0
1.408283875E0,8.997789001E-1,3.367996216E0,7.487579498E0,8.259349086E0
1.418289875E0,9.533674622E-1,3.168012085E0,7.050338745E0,7.787970628E0
1.428295875E0,1.360520782E0,3.446283417E0,6.575825500E0,7.547805456E0
1.438301875E0,1.971400452E0,4.066443787E0,6.242468719E0,7.706542709E0
1.448306875E0,1.970502319E0,4.654720459E0,5.904321899E0,7.772407544E0
1.458312875E0,1.000968475E0,5.556295624E0,5.392236786E0,7.807085020E0
1.468318875E0,-2.365081787E-2,6.671476593E0,4.933440857E0,8.297469372E0
1.478324875E0,3.987707520E-1,6.870712280E0,4.343367920E0,8.138215421E0
1.488330875E0,1.883982239E0,6.427184601E0,3.838018799E0,7.719357439E0
1.498336875E0,3.459905090E0,6.317013702E0,3.610791321E0,8.056886453E0
1.508342875E0,4.341421967E0,6.472989349E0,4.410129089E0,8.955265177E0
1.518348875E0,5.015320587E0,6.150709534E0,6.612948303E0,1.033033173E1
1.528354875E0,5.676046600E0,5.114414520E0,8.847351837E0,1.168975515E1
1.538360875E0,5.802832947E0,4.448599091E0,9.231303406E0,1.177624162E1
1.548366875E0,5.376070404E0,4.905149689E0,9.061855774E0,1.162238601E1
1.558372875E0,4.456682281E0,5.382806396E0,8.608448639E0,1.108792179E1
1.568378875E0,3.896547089E0,5.341192932E0,7.700287170E0,1.014917946E1
1.578384875E0,4.070485382E0,5.470074921E0,7.162605286E0,9.889058871E0
1.588390875E0,4.615951080E0,5.672154694E0,7.382947083E0,1.039173955E1
