"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.821958337E-3,7.069415286E-1,-1.763461769E-2,-8.238063195E-1,1.085695241E0
1.582895833E-2,4.847444102E-1,-1.211320889E-1,-1.126482175E0,1.232319852E0
2.583595834E-2,1.549240252E-1,-1.331358379E-1,-1.091135464E0,1.110091531E0
3.584195834E-2,-1.012930709E-1,-1.248181736E-1,-9.342505753E-1,9.479789028E-1
4.584895833E-2,-1.955563268E-1,-1.723881966E-1,-7.323009029E-1,7.773188404E-1
5.585595834E-2,-1.081284660E-1,-1.665807420E-1,-4.565848044E-1,4.979062084E-1
6.586295833E-2,-4.702535480E-2,-1.572111636E-1,-1.677598330E-1,2.346701846E-1
7.586895834E-2,-7.268176764E-2,-1.262706220E-1,8.091640145E-2,1.666564531E-1
8.587595834E-2,-1.195770219E-1,-1.215074801E-1,2.584808457E-1,3.096370125E-1
9.588295833E-2,-3.969703943E-2,-8.210192442E-2,3.664575765E-1,3.776343950E-1
1.058899583E-1,1.044526139E-1,-1.466551852E-1,3.607626808E-1,4.031969788E-1
1.158969583E-1,3.559986618E-1,-1.794650817E-1,2.486154234E-1,4.698429435E-1
1.259029583E-1,5.514772207E-1,-2.175205153E-1,9.163990259E-2,5.998667946E-1
1.359099583E-1,5.921992770E-1,-2.869836831E-1,1.562463731E-2,6.582581160E-1
1.459169583E-1,5.677055830E-1,-2.666850740E-1,2.458023280E-2,6.277059387E-1
1.559239583E-1,5.922992644E-1,-1.864677072E-1,3.958564997E-3,6.209704459E-1
1.659299583E-1,6.369731614E-1,2.744390666E-2,1.522421998E-1,6.554888739E-1
1.759369583E-1,4.915646026E-1,1.128366441E-1,3.932334387E-1,6.395313941E-1
1.859439583E-1,9.075814247E-2,2.728720129E-2,6.056277001E-1,6.129979958E-1
1.959509583E-1,-1.444861606E-1,-2.188612819E-2,5.461799356E-1,5.653917008E-1
2.059569583E-1,8.374966979E-3,4.697536111E-2,2.530028817E-1,2.574631678E-1
2.159639583E-1,-4.523406029E-3,2.736379981E-2,2.913258255E-2,4.022370082E-2
2.259709583E-1,-1.130804729E-1,-8.680133164E-2,-2.272853655E-1,2.682914495E-1
2.359779583E-1,6.068620473E-2,-2.092367649E-2,-5.232649899E-1,5.271876946E-1
2.459839583E-1,4.842359948E-1,3.040663236E-1,-6.287022749E-1,8.498278521E-1
