"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.624625002E-3,2.194436646E0,4.835694122E0,8.150101776E0,9.727468776E0
1.163062500E-2,2.122885437E0,4.940775604E0,8.265212402E0,9.860610641E0
2.163662500E-2,2.077978821E0,5.026397552E0,8.273145905E0,9.900889429E0
3.164262500E-2,2.100432129E0,5.030289459E0,8.361162872E0,9.981215945E0
4.164862500E-2,2.119741974E0,4.994364166E0,8.501421204E0,1.008519419E1
5.165462500E-2,2.116598511E0,4.908143463E0,8.511749725E0,1.005085792E1
6.166062500E-2,2.108215942E0,4.800816650E0,8.478967896E0,9.969218201E0
7.166662500E-2,2.126927032E0,4.767436066E0,8.405171356E0,9.894400981E0
8.167162500E-2,2.106269989E0,4.740641785E0,8.308771820E0,9.795189991E0
9.167762500E-2,2.045346680E0,4.715045013E0,8.229736176E0,9.702765072E0
1.016836250E-1,2.025138702E0,4.693639526E0,8.197852478E0,9.661067437E0
1.116896250E-1,1.921105042E0,4.677473145E0,8.288414154E0,9.709130177E0
1.216956250E-1,1.817670135E0,4.629123688E0,8.390651550E0,9.753755394E0
1.317016250E-1,1.874402161E0,4.563260651E0,8.372389526E0,9.717697135E0
1.417076250E-1,1.927092590E0,4.543052673E0,8.337961121E0,9.688891015E0
1.517136250E-1,1.873354340E0,4.580025787E0,8.361911316E0,9.716360098E0
1.617196250E-1,1.902543640E0,4.613705750E0,8.382867737E0,9.755943037E0
1.717256250E-1,1.970202942E0,4.676425323E0,8.402776337E0,9.816175610E0
1.817316250E-1,2.035766602E0,4.708608398E0,8.406368866E0,9.847963049E0
1.917376250E-1,1.972298584E0,4.730612640E0,8.424481201E0,9.861061868E0
2.017436250E-1,1.836381226E0,4.699627075E0,8.409362640E0,9.806945022E0
2.117496250E-1,1.709894257E0,4.658911743E0,8.413404236E0,9.768038075E0
2.217556250E-1,1.770967255E0,4.630470886E0,8.453670502E0,9.800108703E0
2.317616250E-1,1.779200134E0,4.588707733E0,8.642727356E0,9.945779403E0
2.417676250E-1,1.651365967E0,4.514462128E0,8.787476349E0,1.001634257E1
2.517736250E-1,1.628313904E0,4.456233215E0,8.747509460E0,9.951298528E0
2.617796250E-1,1.620979156E0,4.420906677E0,8.647966461E0,9.846792025E0
2.717856250E-1,1.588347015E0,4.405638428E0,8.601712646E0,9.793975528E0
2.817916250E-1,1.576521606E0,4.385879517E0,8.594826965E0,9.777137110E0
2.917976250E-1,1.576521606E0,4.368216248E0,8.584797821E0,9.760404048E0
3.018036250E-1,1.530866547E0,4.346212006E0,8.629255371E0,9.782492496E0
3.118096250E-1,1.470392303E0,4.322860565E0,8.678053894E0,9.806008178E0
3.218156250E-1,1.436562653E0,4.269721069E0,8.576415253E0,9.687576005E0
3.318216250E-1,1.400487671E0,4.216581573E0,8.460107117E0,9.555853615E0
3.418276250E-1,1.372046814E0,4.208199005E0,8.395291901E0,9.490646839E0
3.518336250E-1,1.362915802E0,4.237537994E0,8.449479218E0,9.550286215E0
3.618396250E-1,1.349294128E0,4.260440369E0,8.544980621E0,9.643061785E0
3.718456250E-1,1.378184052E0,4.262236633E0,8.570577393E0,9.670617831E0
3.818516250E-1,1.410666504E0,4.237388306E0,8.570128326E0,9.663981538E0
3.918576250E-1,1.424886932E0,4.252506866E0,8.577463074E0,9.679204007E0
4.018636250E-1,1.430126038E0,4.279899902E0,8.598868561E0,9.710990896E0
4.118696250E-1,1.452729034E0,4.322561188E0,8.623118134E0,9.754646237E0
4.218756250E-1,1.484912109E0,4.356241150E0,8.608748016E0,9.761779722E0
4.318816250E-1,1.540296936E0,4.384083252E0,8.512797546E0,9.698475276E0
4.418866250E-1,1.507365417E0,4.397704926E0,8.499325562E0,9.687646469E0
4.518926250E-1,1.507814484E0,4.402644653E0,8.569828949E0,9.751858934E0
4.618986250E-1,1.540296936E0,4.396956482E0,8.631351013E0,9.808463757E0
4.719046250E-1,1.561552734E0,4.398603058E0,8.637188873E0,9.817697665E0
4.819106250E-1,1.588047638E0,4.419409790E0,8.594677277E0,9.793955058E0
4.919166250E-1,1.616638184E0,4.438420258E0,8.516390076E0,9.738685400E0
5.019226250E-1,1.565145264E0,4.464765472E0,8.507708130E0,9.734726912E0
5.119286250E-1,1.569486237E0,4.489464111E0,8.547225952E0,9.781290637E0
5.219346250E-1,1.607806549E0,4.487368469E0,8.587043152E0,9.821345517E0
5.319406250E-1,1.630708923E0,4.472100220E0,8.600066071E0,9.829548738E0
5.419466250E-1,1.630708923E0,4.428840179E0,8.623866577E0,9.830814395E0
5.519526250E-1,1.611698456E0,4.399501190E0,8.616232452E0,9.807784883E0
5.619586250E-1,1.586251373E0,4.349355469E0,8.582851868E0,9.751842523E0
5.719646250E-1,1.651665344E0,4.282893677E0,8.626411285E0,9.771701404E0
